City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,ambovombe,-25.1667,46.0833,23.05,83,74,7.41,MG,1706658686
338,piton saint-leu,-21.2196,55.3151,25.04,88,0,3.09,RE,1706658687
339,vondrozo,-22.8167,47.2833,17.86,96,97,1.32,MG,1706658687
340,port-cartier,50.0334,-66.8654,-12.18,95,41,1.99,CA,1706658687
341,gaspe,48.8334,-64.4819,-9.05,85,0,0.0,CA,1706658688
342,kourou,5.1552,-52.6478,27.03,89,37,3.98,GF,1706658688
343,palikir - national government center,6.9248,158.1611,28.47,69,100,5.66,FM,1706658688
344,sidney,-33.8679,151.2073,25.95,80,75,7.72,AU,1706658651
345,hemsby,52.6971,1.6918,5.23,92,27,3.87,GB,1706658689
346,geraldton,-28.7667,114.6,26.23,53,0,4.12,AU,1706658689
347,kampong thom,12.7111,104.8887,22.88,71,94,1.45,KH,1706658689
348,nagaoka,37.45,138.85,5.64,62,45,1.48,JP,1706658689
349,reggane,26.7158,0.1714,17.5,29,0,8.23,DZ,1706658690
350,lakes,61.6071,-149.3086,-14.1,76,20,0.45,US,1706658690
351,tommot,58.9564,126.2925,-40.66,99,65,0.66,RU,1706658690
352,nuku'alofa,-21.1333,-175.2,26.19,100,100,2.06,TO,1706658691
353,shingu,33.7333,135.9833,10.06,84,97,1.31,JP,1706658691
354,midvagur,62.0511,-7.1939,7.46,87,100,8.75,FO,1706658691
355,obo,5.3998,26.4869,22.23,29,87,2.25,CF,1706658691
356,troitskoye,52.9821,84.6757,-16.97,97,97,2.13,RU,1706658691
357,essaouira,31.5125,-9.77,15.72,36,100,1.54,MA,1706658692
358,neyshabur,36.2133,58.7958,0.32,64,16,0.25,IR,1706658692
359,sacueni,47.35,22.1,-1.88,83,7,0.82,RO,1706658692
360,vilyuchinsk,52.9306,158.4028,-14.48,67,99,2.79,RU,1706658692
361,sovetskiy,61.3614,63.5842,-11.17,95,100,3.58,RU,1706658692
362,brena alta,28.65,-17.7833,17.4,68,0,3.09,ES,1706658693
